Title,Year,Runtime,Genre,imdbRating,imdbVotes
A Clockwork Orange,1971,136 min,"Crime, Drama, Sci-Fi",8.3,"601,251"
Willy Wonka & the Chocolate Factory,1971,100 min,"Family, Fantasy, Musical",7.8,"140,106"
The Godfather,1972,175 min,"Crime, Drama",9.2,"1,243,444"
The Exorcist,1973,122 min,Horror,8,"299,364"
The Sting,1973,129 min,"Comedy, Crime, Drama",8.3,"190,154"
The Godfather: Part II,1974,202 min,"Crime, Drama",9,"856,870"
Chinatown,1974,130 min,"Drama, Mystery, Thriller",8.2,"232,188"
Young Frankenstein,1974,106 min,Comedy,8,"121,147"
Blazing Saddles,1974,93 min,"Comedy, Western",7.8,"103,800"
The Texas Chain Saw Massacre,1974,83 min,Horror,7.5,"103,510"
One Flew Over the Cuckoo's Nest,1975,133 min,Drama,8.7,"729,653"
Jaws,1975,124 min,"Adventure, Drama, Thriller",8,"445,407"
Monty Python and the Holy Grail,1975,91 min,"Adventure, Comedy, Fantasy",8.3,"408,671"
Dog Day Afternoon,1975,125 min,"Biography, Crime, Drama",8,"194,970"
Barry Lyndon,1975,184 min,"Adventure, Drama, History",8.1,"110,576"
Taxi Driver,1976,113 min,"Crime, Drama",8.3,"549,211"
Rocky,1976,120 min,"Drama, Sport",8.1,"407,892"
Network,1976,121 min,Drama,8.1,"111,892"
Star Wars: Episode IV - A New Hope,1977,121 min,"Action, Adventure, Fantasy",8.7,"982,688"
Annie Hall,1977,93 min,"Comedy, Romance",8.1,"208,523"
Close Encounters of the Third Kind,1977,137 min,"Drama, Sci-Fi",7.7,"147,772"
The Deer Hunter,1978,183 min,"Drama, War",8.2,"249,067"
Grease,1978,110 min,"Musical, Romance",7.2,"181,489"
Halloween,1978,91 min,"Horror, Thriller",7.9,"168,969"
Superman,1978,143 min,"Action, Adventure, Drama",7.3,"133,617"
Alien,1979,117 min,"Horror, Sci-Fi",8.5,"618,222"
Apocalypse Now,1979,153 min,"Drama, War",8.5,"481,465"
Life of Brian,1979,94 min,Comedy,8.1,"291,865"
Mad Max,1979,88 min,"Action, Adventure, Sci-Fi",7,"161,293"
Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy",8.8,"910,608"
The Shining,1980,146 min,"Drama, Horror",8.4,"664,418"
Raging Bull,1980,129 min,"Biography, Drama, Sport",8.2,"251,296"
The Elephant Man,1980,124 min,"Biography, Drama",8.2,"174,583"
Airplane!,1980,88 min,Comedy,7.8,"170,228"
The Blues Brothers,1980,133 min,"Action, Comedy, Crime",7.9,"150,887"
Raiders of the Lost Ark,1981,115 min,"Action, Adventure",8.5,"709,587"
Das Boot,1981,149 min,"Adventure, Drama, Thriller",8.4,"180,895"
The Evil Dead,1981,85 min,Horror,7.5,"151,250"
The Road Warrior,1981,94 min,"Action, Adventure, Sci-Fi",7.6,"141,268"
Blade Runner,1982,117 min,"Sci-Fi, Thriller",8.2,"499,344"
E.T. the Extra-Terrestrial,1982,115 min,"Family, Sci-Fi",7.9,"300,412"
The Thing,1982,109 min,"Horror, Mystery, Sci-Fi",8.2,"281,843"
Gandhi,1982,191 min,"Biography, Drama, History",8.1,"184,127"
First Blood,1982,93 min,"Action, Adventure, Drama",7.7,"182,678"
Poltergeist,1982,114 min,"Fantasy, Horror, Thriller",7.4,"113,721"
Star Wars: Episode VI - Return of the Jedi,1983,131 min,"Action, Adventure, Fantasy",8.4,"747,275"
Scarface,1983,170 min,"Crime, Drama",8.3,"580,090"
A Christmas Story,1983,94 min,"Comedy, Family",8,"110,893"
Trading Places,1983,116 min,Comedy,7.5,"109,557"
The Terminator,1984,107 min,"Action, Sci-Fi",8,"646,546"
Indiana Jones and the Temple of Doom,1984,118 min,"Action, Adventure",7.6,"354,509"
Amadeus,1984,160 min,"Biography, Drama, History",8.3,"293,394"
Once Upon a Time in America,1984,229 min,"Crime, Drama",8.4,"239,391"
A Nightmare on Elm Street,1984,91 min,Horror,7.5,"160,821"
Gremlins,1984,106 min,"Comedy, Fantasy, Horror",7.2,"154,176"
The Karate Kid,1984,126 min,"Action, Drama, Family",7.2,"137,906"
Beverly Hills Cop,1984,105 min,"Action, Comedy, Crime",7.3,"134,714"
Nausicaä of the Valley of the Wind,1984,117 min,"Animation, Adventure, Fantasy",8.1,"106,455"
The NeverEnding Story,1984,102 min,"Adventure, Drama, Family",7.4,"106,289"
Back to the Future,1985,116 min,"Adventure, Comedy, Sci-Fi",8.5,"798,211"
Brazil,1985,132 min,"Drama, Sci-Fi",8,"160,587"
Aliens,1986,137 min,"Action, Adventure, Sci-Fi",8.4,"529,034"
Platoon,1986,120 min,"Drama, War",8.1,"311,879"
Stand by Me,1986,89 min,"Adventure, Drama",8.1,"292,157"
Highlander,1986,116 min,"Action, Adventure, Fantasy",7.2,"103,594"
Full Metal Jacket,1987,116 min,"Drama, War",8.3,"527,053"
The Princess Bride,1987,98 min,"Adventure, Family, Fantasy",8.1,"314,262"
Predator,1987,107 min,"Action, Sci-Fi, Thriller",7.8,"307,780"
The Untouchables,1987,119 min,"Crime, Drama, Thriller",7.9,"230,116"
Spaceballs,1987,96 min,"Adventure, Comedy, Sci-Fi",7.1,"144,307"
Wall Street,1987,126 min,"Crime, Drama",7.4,"124,856"
Evil Dead II,1987,84 min,"Comedy, Horror",7.8,"121,548"
"Good Morning, Vietnam",1987,121 min,"Biography, Comedy, Drama",7.3,"105,240"
Die Hard,1988,131 min,"Action, Thriller",8.2,"636,557"
Rain Man,1988,133 min,Drama,8,"403,104"
Beetlejuice,1988,92 min,"Comedy, Fantasy",7.5,"203,404"
My Neighbor Totoro,1988,86 min,"Animation, Family, Fantasy",8.2,"193,678"
Cinema Paradiso,1988,155 min,Drama,8.5,"168,022"
Big,1988,104 min,"Comedy, Drama, Family",7.3,"161,877"
Grave of the Fireflies,1988,89 min,"Animation, Drama, War",8.5,"156,225"
Akira,1988,124 min,"Animation, Action, Drama",8.1,"115,508"
Indiana Jones and the Last Crusade,1989,127 min,"Action, Adventure, Fantasy",8.3,"555,173"
Back to the Future Part II,1989,108 min,"Adventure, Comedy, Sci-Fi",7.8,"369,787"
Dead Poets Society,1989,128 min,"Comedy, Drama",8,"295,852"
Batman,1989,126 min,"Action, Adventure",7.6,"285,262"
When Harry Met Sally...,1989,96 min,"Comedy, Drama, Romance",7.6,"159,228"
The Abyss,1989,145 min,"Adventure, Drama, Sci-Fi",7.6,"138,550"
Glory,1989,122 min,"Biography, Drama, History",7.9,"106,197"
Goodfellas,1990,146 min,"Crime, Drama",8.7,"787,997"
Edward Scissorhands,1990,105 min,"Drama, Fantasy, Romance",7.9,"377,999"
Home Alone,1990,103 min,"Comedy, Family",7.5,"343,702"
Back to the Future Part III,1990,118 min,"Action, Adventure, Comedy",7.4,"310,064"
The Godfather: Part III,1990,162 min,"Crime, Drama",7.6,"289,382"
Die Hard 2,1990,124 min,"Action, Thriller",7.1,"285,011"
Total Recall,1990,113 min,"Action, Sci-Fi, Thriller",7.5,"253,885"
Dances with Wolves,1990,181 min,"Adventure, Drama, Western",8,"198,359"
Ghost,1990,127 min,"Drama, Fantasy, Romance",7,"162,691"
